name,price,sold,rating,location
蓝牙无线耳机超长续航 高音质运动耳机,35.90,8500,4.5,Selangor
便携式迷你投影仪 家用高清投影机 手机同屏,189.00,3200,4.3,Kuala Lumpur
多功能桌面收纳盒 办公文具整理架,12.50,5600,4.7,Penang
无线蓝牙音箱 便携防水户外低音炮,29.90,4200,4.4,Johor
LED化妆镜 带灯补光镜 高清放大镜台灯,18.00,2800,4.6,Selangor
智能手环 运动健康监测 心率血氧睡眠,22.00,15000,4.2,Penang
汽车手机支架 出风口导航支架 360旋转,6.90,12000,4.5,Kuala Lumpur
无线充电器 快充15W 兼容苹果安卓,15.00,9800,4.3,Penang
硅胶手机壳 透明防摔软壳 全包边保护,3.50,22000,4.0,Selangor
USB-C拓展坞 7合1多功能转换器,28.00,1800,4.6,Kuala Lumpur
电动牙刷 声波震动 USB充电 旅行便携,16.00,6500,4.5,Selangor
蓝牙自拍杆 三脚架一体式 无线遥控,12.00,4200,4.3,Johor
可折叠懒人桌 床上电脑桌 宿舍书桌,25.00,3800,4.4,Penang
家用小型加湿器 静音大容量 香薰机,20.00,7200,4.6,Selangor
智能体脂秤 蓝牙连接 13项数据精准测量,19.00,2100,4.5,Penang
挂脖风扇 无叶随身空调 静音便携,18.00,11000,4.2,Selangor
便携式果汁杯 USB充电 榨汁机随行杯,15.00,3400,4.4,Kuala Lumpur
创意桌面垃圾桶 迷你按压式 办公室用,4.50,8900,4.6,Penang
电子闹钟 LED大屏显示 温湿度感应,9.00,2800,4.3,Selangor
旅行收纳袋套装 防水便携行李箱整理,8.00,5200,4.5,Johor
运动水壶 大容量 食品级Tritan材质,7.50,6300,4.4,Penang
桌面理线器 数据线固定夹 3个装磁吸收纳,3.00,12000,4.2,Selangor
无线鼠标 静音充电 人体工学设计,12.00,8500,4.4,Kuala Lumpur
迷你加湿器 USB静音 办公室桌面,10.00,9500,4.3,Penang
创意磁悬浮月球灯 遥控变色床头小夜灯,35.00,1800,4.7,Selangor
手持挂烫机 便携迷你 家用旅行两用,18.00,4200,4.5,Johor
手机广角镜头 微距鱼眼三合一 夹子式,6.00,7800,4.3,Penang
电脑增高架 显示器支架 桌面收纳,22.00,2400,4.6,Selangor
真空压缩袋 搬家收纳 手卷式免泵,5.00,11000,4.1,Kuala Lumpur
墙贴镜子 自粘贴片 拼接全身镜,11.00,4500,4.4,Penang
